Retailer,Machine ID,Address,Cities,Full Address,Longitude,Latitude
Safeway,Q01172,Falcon,"Falcon, CO","7655 McLaughlin Rd, Falcon, CO",38.94151360000001,-104.6014928
Safeway,Q01098,Firestone,"Firestone, CO","8134 Colorado Blvd, Firestone, CO",40.1191182,-104.9398707
King Soopers,Q00627,Fort Collins,"Fort Collins, CO","2535 S College Ave, Fort Collins, CO",40.554117,-105.0789845
Safeway,Q01104,Fort Collins,"Fort Collins, CO","2160 W Drake Rd, Fort Collins, CO",40.5546594,-105.1165765
Safeway,Q01100,Fort Lupton,"Fort Lupton, CO","1300 Dexter St, Fort Lupton, CO",40.0789504,-104.8026005
Safeway,Q01477,Fountain,"Fountain, CO","6925 Mesa Ridge Pkwy, Fountain, CO",38.7163261,-104.6989612
King Soopers,Q01704,Frederick,"Frederick, CO","5801 Silverstone Dr, Frederick, CO",38.978011,-108.400911
King Soopers,Q00446,Glendale,"Glendale, CO","4600 Leetsdale Dr, Glendale, CO",39.7084673,-104.9326797
King Soopers,Q00755,Golden,"Golden, CO","17171 S Golden Rd, Golden, CO",39.7394054,-105.1929718
Safeway,Q01326,Golden,"Golden, CO","1701 Jackson St, Golden, CO",39.75220729999999,-105.2155499
King Soopers,Q00648,Greeley,"Greeley, CO","2100 35th Ave, Greeley, CO",40.4047742,-104.7330443
Safeway,Q01079,Greeley,"Greeley, CO","4548 Centerplace Dr, Greeley, CO",40.3943255,-104.7527285
Safeway,Q01092,Greeley,"Greeley, CO","3526 W 10th St, Greeley, CO",40.4216752,-104.7364544
King Soopers,Q00445,Greenwood Village,"Greenwood Village, CO","4910 S Yosemite St, Greenwood Village, CO",39.6267802,-104.8837399
King Soopers,Q00742,Greenwood Village,"Greenwood Village, CO","6000 S Holly St, Greenwood Village, CO",39.607639,-104.9208168
King Soopers,Q00108,Highlands Ranch,"Highlands Ranch, CO","2205 W Wildcat Reserve Pkwy, Highlands Ranch, CO",39.5364574,-105.0136452
King Soopers,Q00274,Highlands Ranch,"Highlands Ranch, CO","8673 S Quebec St, Highlands Ranch, CO",39.5588137,-104.9076773
King Soopers,Q00431,Highlands Ranch,"Highlands Ranch, CO","4000 Red Cedar Dr, Highlands Ranch, CO",39.5251656,-104.940163
King Soopers,Q00449,Highlands Ranch,"Highlands Ranch, CO","9551 S University Blvd, Highlands Ranch, CO",39.5422515,-104.9442698
Safeway,Q01191,Highlands Ranch,"Highlands Ranch, CO","9255 S Broadway, Highlands Ranch, CO",39.5477859,-104.9941988
King Soopers,Q00436,Lafayette,"Lafayette, CO","2900 Arapahoe Rd, Lafayette, CO",40.0121893,-105.100416
King Soopers,Q00110,Lakewood,"Lakewood, CO","7984 W Alameda Ave, Lakewood, CO",39.7096917,-105.0853178
King Soopers,Q00266,Lakewood,"Lakewood, CO","1927 S Wadsworth Blvd, Lakewood, CO",39.6813014,-105.0832331
King Soopers,Q00278,Lakewood,"Lakewood, CO","1555 Quail St, Lakewood, CO",39.7421148,-105.1253473
King Soopers,Q00429,Lakewood,"Lakewood, CO","12043 W Alameda Pkwy, Lakewood, CO",39.7086331,-105.1373167
Safeway,Q00471,Lakewood,"Lakewood, CO","11088 W Jewell Ave, Lakewood, CO",39.6814028,-105.1223343
King Soopers,Q00748,Lakewood,"Lakewood, CO","1545 S Kipling Pkwy, Lakewood, CO",39.6900838,-105.1178784
Safeway,Q02028,Lakewood,"Lakewood, CO","13111 W Alameda Pkwy, Lakewood, CO",39.69844459999999,-105.1458145
King Soopers,Q00101,Littleton,"Littleton, CO","11747 W Ken Caryl Ave, Littleton, CO",39.5821623,-105.1308294
King Soopers,Q00102,Littleton,"Littleton, CO","8126 S Wadsworth Blvd, Littleton, CO",39.5684929,-105.0814977
King Soopers,Q00279,Littleton,"Littleton, CO","100 W Littleton Blvd, Littleton, CO",39.6121624,-104.9898169
King Soopers,Q00286,Littleton,"Littleton, CO","6760 S Pierce St, Littleton, CO",39.5934982,-105.0720898
King Soopers,Q00447,Littleton,"Littleton, CO","7901 S Broadway, Littleton, CO",39.5725436,-104.9909131
Safeway,Q01081,Littleton,"Littleton, CO","181 W Mineral Ave, Littleton, CO",39.5746127,-104.9920079
Safeway,Q01174,Littleton,"Littleton, CO","8434 S Kipling Pkwy, Littleton, CO",39.563478,-105.1074406
Safeway,Q01142,Lone Tree,"Lone Tree, CO","9229 Lincoln Ave, Lone Tree, CO",39.5379407,-104.8834126
Safeway,Q00448,Longmont,"Longmont, CO","1050 Ken Pratt Blvd, Longmont, CO",40.1529514,-105.1104554
Safeway,Q00450,Longmont,"Longmont, CO","1632 Hover St, Longmont, CO",40.1880332,-105.1293675
King Soopers,Q00428,Louisville,"Louisville, CO","1375 E South Boulder Rd, Louisville, CO",39.988326,-105.1242509
Safeway,Q01170,Monument,"Monument, CO","624 W Hwy 105, Monument, CO",39.0981174,-104.8657874
King Soopers,Q00105,Parker,"Parker, CO","17761 Cottonwood Dr, Parker, CO",39.5600248,-104.7827124
King Soopers,Q00109,Parker,"Parker, CO","17031 Lincoln Ave, Parker, CO",39.5357504,-104.7922062
Safeway,Q01105,Parker,"Parker, CO","11051 S Parker Rd, Parker, CO",39.5160562,-104.7665878
King Soopers,Q01696,Parker,"Parker, CO","12959 S Parker Rd, Parker, CO",39.4798136,-104.7607222
Safeway,Q00644,Superior,"Superior, CO","1601 Coalton Rd, Superior, CO",39.929661,-105.1489214
King Soopers,Q00440,Thornton,"Thornton, CO","3801 E 120th Ave, Thornton, CO",39.914814,-104.9434923
Safeway,Q00647,Thornton,"Thornton, CO","771 Thornton Pkwy, Thornton, CO",39.8724663,-104.9759434
Safeway,Q00664,Thornton,"Thornton, CO","3840 E 104th Ave, Thornton, CO",39.8832921,-104.9425807
King Soopers,Q00747,Thornton,"Thornton, CO","750 E 104th Ave, Thornton, CO",39.883949,-104.9746635
King Soopers,Q00271,Westminster,"Westminster, CO","10351 Federal Blvd, Westminster, CO",39.8833858,-105.0277978
King Soopers,Q00281,Westminster,"Westminster, CO","9983 Wadsworth Pkwy, Westminster, CO",39.8763553,-105.0977733
King Soopers,Q00289,Wheat Ridge,"Wheat Ridge, CO","3400 Youngfield St, Wheat Ridge, CO",39.7648389,-105.1412
King Soopers,Q00444,Wheat Ridge,"Wheat Ridge, CO","5301 W 38th Ave, Wheat Ridge, CO",39.7694428,-105.054617
Safeway,Q00638,Wheat Ridge,"Wheat Ridge, CO","3900 Wadsworth Blvd, Wheat Ridge, CO",39.7710918,-105.0795795
Safeway,Q01483,Woodland Park,"Woodland Park, CO","1101 E US-24, Woodland Park, CO",38.9825699,-105.0467917
